Source,Target,Weight
Aeneas,Turnus,55
Aeneas,Jupiter,34
Jupiter,Turnus,26
Aeneas,Ascanius,22
Aeneas,Dido,20
Aeneas,Evander,17
Aeneas,Priam,17
Aeneas,Venus,17
Aeneas,Anchises,15
Aeneas,Achates,15
Turnus,Latinus,14
Aeneas,Mars,14
Venus,Jupiter,13
Turnus,Mars,12
Evander,Turnus,12
Jupiter,Apollo,11
Aeneas,Apollo,11
Anchises,Ascanius,10
Anchises,Jupiter,10
Aeneas,Latinus,10
Ascanius,Turnus,10
Aeneas,Cupid,9
Aeneas,Juno,9
Lavinia,Turnus,9
Aeneas,Pallas,9
Venus,Turnus,9
Pallas,Evander,9
Aeneas,Hector,8
Hector,Priam,8
Juturna,Turnus,8
Priam,Ascanius,8
Turnus,Vulcan,8
Anchises,Apollo,7
Aeneas,Lavinia,7
Anchises,Priam,7
Ascanius,Apollo,7
Aeneas,Mezentius,7
Priam,Jupiter,7
Dido,Turnus,7
Jupiter,Ascanius,7
Jupiter,Juturna,6
Nisus,Euryalus,6
Pallas,Turnus,6
Ascanius,Mars,6
Jupiter,Mars,6
Priam,Turnus,5
Creusa,Ascanius,5
Camilla,Turnus,5
Mezentius,Turnus,5
Dido,Jupiter,5
Dido,Priam,5
Allecto,Turnus,5
Aeneas,Minerva,5
Evander,Mezentius,5
Aeneas,Aeolus,5
Turnus,Apollo,5
Amata,Turnus,5
Hector,Venus,4
Priam,Apollo,4
Evander,Ascanius,4
Mezentius,Lausus,4
Priam,Venus,4
Priam,Minerva,4
Jupiter,Cupid,4
Venus,Ascanius,4
Lavinia,Latinus,4
Dido,Sychaeus,4
Creusa,Priam,4
Pyrrhus,Priam,4
Aeneas,Euryalus,4
Aeneas,Nisus,4
Anchises,Juno,4
Turnus,Aeolus,4
Dido,Venus,4
Dido,Ascanius,4
Anchises,Pallas,4
Aeneas,Vulcan,4
Aeneas,Camilla,4
Aeneas,Augustus,4
Cupid,Turnus,4
Turnus,Drances,4
Anchises,Venus,4
Latinus,Mars,4
Turnus,Achates,4
Aeolus,Mars,4
